Line;KM;Stop name;Befestigung text;Befestigung Auswahl;Type of display;Mounted on;Lighting;Second hand;EIGENTuMER;ANTEIL EIGENTUM;EIGENTuMER GRUPPE;IH-EA;IH-TC;FID;Geopos
298;6.599;Wabern bei Bern;Haengend;Haengend;Beidseitig;;ja;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;274915534;46.92840338222966,7.446210161224244
298;8.718;Kehrsatz Nord;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38854380;46.91587148833198,7.465980996692632
298;11.913;Belp Steinbach;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38853435;46.894895923045326,7.493293699199793
299;137.105;Thun;Haengend;Haengend;Beidseitig;Dach_BE Marquise quai 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859468;46.75413411210564,7.630171123766894
300;13.607;Frutigen;Haengend;Haengend;Beidseitig;Mast 89;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859850;46.58831860351657,7.651301092561236
300;17.459;Kandergrund;Haengend;Haengend;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859854;46.557313323326085,7.6626728122209835
300;22.344;Blausee-Mitholz;Haengend;Haengend;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38858449;46.52894499633335,7.675273389954027
300;64.906;Eggerberg;Seitlich;Seitlich;Beidseitig;Mast 104;ja;ja;BLS Netz AG;100;BLS;West > Brig;West > Brig;124114849;46.30691501420764,7.880777362541372
300;65.071;Eggerberg;Seitlich;Seitlich;Beidseitig;Mast 115;ja;ja;BLS Netz AG;100;BLS;West > Brig;West > Brig;124115285;46.30584535728978,7.882229729505126
310;9.79;Spiez;Wanduhr;ANDERE;Einseitig;;nein;nein;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859347;46.68669219405315,7.68002783118868
310;9.809;Spiez;Haengend;Haengend;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38860281;46.68636261523279,7.679853201180226
310;26.0;Interlaken West;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38858896;46.68250566092907,7.851402534409548
310;28.04;Interlaken Ost;Haengend;Haengend;Beidseitig;Mast 27A;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Luzern;Mitte > Luzern;38859803;46.69090798305573,7.869951473402531
310;28.108;Interlaken Ost;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 3;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Luzern;Mitte > Luzern;38859953;46.69099279508278,7.870833779299728
310;28.131;Interlaken Ost;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Luzern;Mitte > Luzern;38859257;46.691220053646965,7.8710803364339395
310;28.202;Interlaken Ost;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 3;;ja;SBB Infrastruktur;100;SBB;Mitte > Luzern;Mitte > Luzern;215638610;46.6911466737134,7.872049062211864
310;28.203;Interlaken Ost;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Luzern;Mitte > Luzern;38859252;46.69131843615642,7.872011154547347
320;4.548;Wimmis;Haengend;Haengend;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38860129;46.67569123853301,7.635568286691322
320;7.345;Burgholz;Haengend;Haengend;Beidseitig;;ja;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;245340165;46.66577071542222,7.6031287282930355
320;17.648;Weissenburg;Hauswand;ANDERE;Einseitig;Gebaeude;nein;nein;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859594;46.65925628522171,7.475837051640797
320;25.913;Boltigen;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38860360;46.62732297769895,7.390004154040942
320;34.954;Zweisimmen;Seitlich;Seitlich;Beidseitig;;ja;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;243641206;46.552924700751426,7.37475430832925
410;39.327;Olten;ANDERE;ANDERE;Einseitig;Bruecke_Unterbau;nein;ja;SBB Infrastruktur;100;SBB;Mitte > Olten & Brugg;Mitte > Olten & Basel;254389862;47.35165739298264,7.907097184153761
410;39.347;Olten;Haengend;Haengend;Beidseitig;Dach_BE Aussenperrond. Gl. 1;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38852688;47.35147306382981,7.907020788664974
410;45.313;Hagendorf;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38858245;47.330097015328256,7.843788205289668
410;47.103;Harkingen Post;Seitlich;Seitlich;Einseitig;Gebaeude;ja;nein;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38859187;47.32373551965238,7.821971426853304
410;56.599;Oensingen;Haengend;Haengend;Beidseitig;Dach_BE PD 1 zw. NG/AG;ja;ja;SBB Konzern;100;SBB;Mitte > Olten & Brugg;Mitte > Olten & Basel;282793841;47.28525369340459,7.710106943074655
410;64.292;Wangen an der Aare;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38850498;47.23188105514488,7.656499779404917
410;67.597;Deitingen;Seitlich;Seitlich;Beidseitig;Dach_BE Perrondach 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38850489;47.21839362049261,7.618936044638066
410;67.611;Deitingen;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 1;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38850485;47.21824739780321,7.618743070674335
410;73.864;Solothurn;Seitlich;Seitlich;Beidseitig;Dach_BE Perrondach 1;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38854699;47.204025113940716,7.542123036591598
410;75.639;Solothurn Allmend;Seitlich;Seitlich;Beidseitig;Ausruestungsstaender Kippstander;;ja;SBB Infrastruktur;100;SBB;Mitte > Olten & Brugg;Mitte > Olten & Basel;125447826;47.20890677274552,7.521601094059466
410;80.687;Selzach;Lateral;Seitlich;Beidseitig;Ausruestungsstaender Candelabre <6m;ja;ja;SBB Infrastruktur;100;SBB;West > Biel;West > Biel;170481458;47.20052394815522,7.456742171482365
410;82.939;Bettlach;an FL-Mast;ANDERE;Beidseitig;Mast 55;ja;ja;Migration ausstehend;100;unbekannt;West > Biel;West > Biel;38855263;47.19474007048696,7.4282667932041475
410;90.209;Pieterlen;Lateral;Seitlich;Beidseitig;Ausruestungsstaender Kippstander;ja;ja;SBB Infrastruktur;100;SBB;West > Biel;West > Biel;170527947;47.171321697242625,7.34029036571864
415;80.206;Solothurn;Haengend;Haengend;Beidseitig;Mast 295;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38855998;47.20414741550525,7.543873371980187
